case	operation	repetition	elapsed_seconds	peak_rss_bytes	fixture_logical_high_water_bytes	fixture_allocated_high_water_bytes	final_logical_high_water_bytes	final_allocated_high_water_bytes	external_workspace_logical_high_water_bytes	external_workspace_allocated_high_water_bytes
min	stream-build	1	0.000000000	2289664	874	4096	1154	4096	0	0
min	stream-build	2	0.000000000	2355200	874	4096	1154	4096	0	0
min	stream-build	3	0.000000000	2416640	874	4096	1154	4096	0	0
min	stream-validate	1	0.000000000	2482176	874	4096	1154	4096	0	0
min	stream-validate	2	0.000000000	2482176	874	4096	1154	4096	0	0
min	stream-validate	3	0.000000000	2404352	874	4096	1154	4096	0	0
representative	stream-build	1	0.210000000	4009984	5916188	5918720	7503556	7503872	0	0
representative	stream-build	2	0.220000000	3948544	5916188	5918720	7503556	7503872	0	0
representative	stream-build	3	0.210000000	3952640	5916188	5918720	7503556	7503872	0	0
representative	stream-validate	1	0.230000000	3956736	5916188	5918720	7503556	7503872	0	0
representative	stream-validate	2	0.230000000	4038656	5916188	5918720	7503556	7503872	0	0
representative	stream-validate	3	0.230000000	3993600	5916188	5918720	7503556	7503872	0	0
max-records	stream-build	1	0.120000000	2916352	3465244	3469312	3662084	3665920	0	0
max-records	stream-build	2	0.120000000	2932736	3465244	3469312	3662084	3665920	0	0
max-records	stream-build	3	0.120000000	2818048	3465244	3469312	3662084	3665920	0	0
max-records	stream-validate	1	0.130000000	2777088	3465244	3469312	3662084	3665920	0	0
max-records	stream-validate	2	0.130000000	2756608	3465244	3469312	3662084	3665920	0	0
max-records	stream-validate	3	0.130000000	2940928	3465244	3469312	3662084	3665920	0	0
max-series	stream-build	1	0.120000000	2813952	3465244	3469312	3924164	3928064	0	0
max-series	stream-build	2	0.120000000	2813952	3465244	3469312	3924164	3928064	0	0
max-series	stream-build	3	0.120000000	2850816	3465244	3469312	3924164	3928064	0	0
max-series	stream-validate	1	0.140000000	2777088	3465244	3469312	3924164	3928064	0	0
max-series	stream-validate	2	0.140000000	2940928	3465244	3469312	3924164	3928064	0	0
max-series	stream-validate	3	0.130000000	2859008	3465244	3469312	3924164	3928064	0	0
max-observations	stream-build	1	15.690000000	103825408	368336924	368340992	469199044	469204992	0	0
max-observations	stream-build	2	15.690000000	103825408	368336924	368340992	469199044	469204992	0	0
max-observations	stream-build	3	15.700000000	103784448	368336924	368340992	469199044	469200896	0	0
max-observations	stream-validate	1	16.410000000	104046592	368336924	368340992	469199044	469200896	0	0
max-observations	stream-validate	2	16.380000000	104087552	368336924	368340992	469199044	469200896	0	0
max-observations	stream-validate	3	16.430000000	104050688	368336924	368340992	469199044	469200896	0	0
